"groupId","accountId","roleName","roleDescription","roleToScreenList","roleToTabList","sequence_id"
0,9902,"EC Admin","EC Admin","[{""access"": ""R"", ""screen"": {""id"": ""47""}}, {""access"": ""R"", ""screen"": {""id"": ""10""}}, {""access"": ""R"", ""screen"": {""id"": ""13""}}, {""access"": ""R"", ""screen"": {""id"": ""111""}}, {""access"": ""R"", ""screen"": {""id"": ""504""}}, {""access"": ""R"", ""screen"": {""id"": ""49""}}, {""access"": ""R"", ""screen"": {""id"": ""17""}}, {""access"": ""R"", ""screen"": {""id"": ""71""}}, {""access"": ""R"", ""screen"": {""id"": ""23""}}, {""access"": ""R"", ""screen"": {""id"": ""70""}}, {""access"": ""RW"", ""screen"": {""id"": ""132""}}, {""access"": ""RW"", ""screen"": {""id"": ""6"", ""type"": ""screen""}}, {""access"": ""RW"", ""screen"": {""id"": ""1002"", ""type"": ""screen""}}, {""access"": ""RW"", ""screen"": {""id"": ""131"", ""type"": ""screen""}}, {""access"": ""RW"", ""screen"": {""id"": ""16"", ""type"": ""screen""}}, {""access"": ""RW"", ""screen"": {""id"": ""133"", ""type"": ""screen""}}, {""access"": ""RW"", ""screen"": {""id"": ""3"", ""type"": ""state""}}]","[{""tab"": {""id"": ""1""}, ""access"": ""R""}, {""tab"": {""id"": ""5""}, ""access"": ""R""}, {""tab"": {""id"": ""9""}, ""access"": ""R""}, {""tab"": {""id"": ""11""}, ""access"": ""R""}, {""tab"": {""id"": ""2""}, ""access"": ""RW""}, {""tab"": {""id"": ""4""}, ""access"": ""RW""}, {""tab"": {""id"": ""8""}, ""access"": ""RW""}]",2
0,9903,"EC Admin","EC Admin","[{""access"": ""R"", ""screen"": {""id"": ""47""}}, {""access"": ""R"", ""screen"": {""id"": ""10""}}, {""access"": ""R"", ""screen"": {""id"": ""13""}}, {""access"": ""R"", ""screen"": {""id"": ""111""}}, {""access"": ""R"", ""screen"": {""id"": ""504""}}, {""access"": ""R"", ""screen"": {""id"": ""49""}}, {""access"": ""R"", ""screen"": {""id"": ""17""}}, {""access"": ""R"", ""screen"": {""id"": ""71""}}, {""access"": ""R"", ""screen"": {""id"": ""23""}}, {""access"": ""R"", ""screen"": {""id"": ""70""}}, {""access"": ""RW"", ""screen"": {""id"": ""132""}}, {""access"": ""RW"", ""screen"": {""id"": ""6"", ""type"": ""screen""}}, {""access"": ""RW"", ""screen"": {""id"": ""1002"", ""type"": ""screen""}}, {""access"": ""RW"", ""screen"": {""id"": ""131"", ""type"": ""screen""}}, {""access"": ""RW"", ""screen"": {""id"": ""16"", ""type"": ""screen""}}, {""access"": ""RW"", ""screen"": {""id"": ""133"", ""type"": ""screen""}}, {""access"": ""RW"", ""screen"": {""id"": ""3"", ""type"": ""state""}}]","[{""tab"": {""id"": ""1""}, ""access"": ""R""}, {""tab"": {""id"": ""5""}, ""access"": ""R""}, {""tab"": {""id"": ""9""}, ""access"": ""R""}, {""tab"": {""id"": ""11""}, ""access"": ""R""}, {""tab"": {""id"": ""2""}, ""access"": ""RW""}, {""tab"": {""id"": ""4""}, ""access"": ""RW""}, {""tab"": {""id"": ""8""}, ""access"": ""RW""}]",3
